CEST,Temperatura maksymalnaC,Temperatura średniaC,Temperatura minimalnaC, Wydarzenia
2016-01-06,-5,-9,-12,śnieg
2016-01-07,-5,-6,-6,śnieg
2016-01-08,2,-2,-6,deszcz-śnieg
2016-01-09,1,-2,-4,mgła-deszcz-śnieg
2016-01-10,0,-2,-5,deszcz
2016-01-11,2,1,-1,deszcz
2016-01-12,1,-1,-2,mgła-deszcz-śnieg
2016-01-13,3,1,-2,deszcz-śnieg
2016-01-14,0,-1,-2,śnieg
2016-01-15,0,-2,-3,śnieg
2016-01-16,-4,-7,-10,mgła-śnieg
2016-01-17,-2,-6,-10,śnieg
2016-01-18,-5,-7,-8,mgła-śnieg
2016-01-19,-3,-7,-10,śnieg
2016-01-20,-3,-7,-10,śnieg
2016-01-21,-2,-4,-6,śnieg
2016-01-22,-2,-8,-13,mgła-śnieg
2016-01-23,-4,-9,-15,mgła
2016-01-24,2,-6,-12,deszcz-śnieg
2016-01-25,2,1,1,mgła-deszcz
2016-01-26,6,3,0,mgła-deszcz
2016-01-27,9,6,3,deszcz
2016-01-28,11,7,2,deszcz
2016-01-29,7,3,0,deszcz
2016-01-30,9,7,5,
2016-01-31,4,3,3,deszcz
2016-02-01,7,3,1,deszcz-śnieg
2016-02-02,11,7,3,deszcz
2016-02-03,7,6,4,deszcz
2016-02-04,3,2,0,śnieg-grad
2016-02-05,2,1,0,
2016-02-06,6,2,-2,
2016-02-07,9,4,0,
2016-02-08,10,6,1,deszcz
2016-02-09,10,8,5,deszcz
2016-02-10,8,4,0,deszcz-śnieg
2016-02-11,3,2,0,deszcz-śnieg
2016-02-12,7,3,1,deszcz
2016-02-13,5,3,1,deszcz
2016-02-14,8,6,2,
2016-02-15,8,4,1,deszcz
2016-02-16,4,2,0,
2016-02-17,5,1,-3,deszcz
2016-02-18,8,6,3,deszcz
2016-02-19,4,2,0,deszcz-śnieg
2016-02-20,3,1,-1,deszcz-śnieg
2016-02-21,8,4,1,deszcz
2016-02-22,12,8,3,deszcz
2016-02-23,5,3,2,deszcz
2016-02-24,5,2,0,deszcz-śnieg-grad
2016-02-25,5,1,-2,
2016-02-26,2,-1,-3,mgła-śnieg
2016-02-27,2,-2,-6,
2016-02-28,5,1,-2,
2016-02-29,2,1,-1,deszcz-śnieg
2016-03-01,1,1,0,deszcz-śnieg
2016-03-02,3,2,0,deszcz-śnieg
2016-03-03,8,4,1,
2016-03-04,3,2,1,deszcz
2016-03-05,6,3,1,deszcz
2016-03-06,9,5,1,deszcz
2016-03-07,7,2,-2,deszcz
2016-03-08,7,4,2,deszcz
2016-03-09,7,2,-3,
2016-03-10,7,5,3,deszcz
2016-03-11,6,6,4,deszcz
2016-03-12,5,4,3,
2016-03-13,7,4,2,
2016-03-14,7,2,-2,deszcz-śnieg
2016-03-15,4,2,0,deszcz
2016-03-16,8,4,0,
2016-03-17,11,5,-1,
2016-03-18,8,4,0,
2016-03-19,4,1,-3,śnieg
2016-03-20,6,4,3,deszcz
2016-03-21,10,6,2,deszcz
2016-03-22,7,3,1,deszcz
2016-03-23,7,1,-4,
2016-03-24,7,2,-3,
2016-03-25,8,2,-4,
2016-03-26,7,4,2,deszcz
2016-03-27,11,4,-3,
2016-03-28,15,8,1,
2016-03-29,12,8,4,deszcz
2016-03-30,13,8,4,deszcz
2016-03-31,13,9,5,deszcz
2016-04-01,9,6,1,deszcz
2016-04-02,12,6,-1,
2016-04-03,16,8,1,
2016-04-04,21,13,6,
2016-04-05,23,16,8,
2016-04-06,16,12,9,deszcz
2016-04-07,18,11,3,mgła-deszcz
2016-04-08,12,10,7,deszcz
2016-04-09,12,9,7,deszcz
2016-04-10,9,8,7,deszcz
2016-04-11,14,11,7,
2016-04-12,16,12,8,deszcz
2016-04-13,17,12,8,
2016-04-14,13,10,7,mgła
2016-04-15,14,8,2,deszcz
2016-04-16,18,12,6,deszcz
2016-04-17,22,14,6,mgła-deszcz
2016-04-18,13,9,6,deszcz
2016-04-19,12,9,5,deszcz
2016-04-20,12,8,2,deszcz
2016-04-21,14,7,0,
2016-04-22,13,8,4,
2016-04-23,14,8,2,
2016-04-24,10,7,3,deszcz
2016-04-25,9,6,2,deszcz
2016-04-26,13,7,1,
2016-04-27,8,6,4,deszcz
2016-04-28,13,8,3,deszcz
2016-04-29,14,9,4,deszcz
2016-04-30,12,8,4,
2016-05-01,14,11,8,
2016-05-02,19,12,6,deszcz
2016-05-03,19,13,8,mgła-deszcz-burza z wyładowaniami
2016-05-04,21,14,9,deszcz
2016-05-05,21,14,7,
2016-05-06,21,15,9,
2016-05-07,21,14,9,deszcz
2016-05-08,23,17,10,deszcz-burza z wyładowaniami
2016-05-09,22,14,8,mgła
2016-05-10,23,17,10,
2016-05-11,23,17,11,deszcz-burza z wyładowaniami
2016-05-12,24,17,10,mgła
2016-05-13,23,18,12,deszcz-burza z wyładowaniami
2016-05-14,16,14,11,deszcz
2016-05-15,13,10,7,deszcz
2016-05-16,12,8,4,deszcz
2016-05-17,12,8,4,deszcz
2016-05-18,16,11,5,deszcz
2016-05-19,18,11,4,mgła
2016-05-20,22,14,6,
2016-05-21,22,17,12,
